data;nome;idade;Qual seu gênero?;Assistiu;ouviuSobre;interesse;gostou;notaGeral;veridico;nivelVeridico;identificacaoPersonagem;identificacaoSituacao;identificacaoCenario;temaAbordado;Qual foi a sensação geral que o filme despertou em você?;Em poucas palavras, qual sua opinião geral sobre o filme?;O Capitão Nascimento utiliza métodos violentos e tortura para obter informações. Em sua visão, essas ações são: ;Em sua visão, como você enxerga o Capitão Nascimento?;Com base nos temas abordados do filme, numa provável sequência, quais temas devem ser abordados principalmente:;Em poucas palavras, o que você melhoraria num próximo filme? 
23/03/2026;ENZO;18-25;Masculino;Sim;;;Sim;9;Sim;8;Muita;Muita;Total;Violência urbana/criminalidade, Cultura local/regionalismos, Corrupção/política;Tristeza/Reflexão;Filme tecnicamente muito bom e com um bom retrato da realidade ;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Nenhuma das anteriores.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;Tentaria atualizar um pouco o filme. O filme é um ótimo retrato da época de seu lançamento, mas acredito que durante os anos novos temas foram surgindo 
23/03/2026;KEVIN;26-35;Não-binário;Sim;;;Sim;10;Sim;9;Moderada;Muita;Muita;Questões sociais/desigualdade, Violência urbana/criminalidade, Cultura local/regionalismos, Relações familiares/amizade, Corrupção/política, Busca por justiça/redenção;Revolta/Indignação;RELAXA, BAIANO TEM CONSIÊNCIA SOCIAL;Justificáveis, pois os fins (combater o crime) justificam os meios.;Uma peça fundamental que mantém o sistema violento funcionando.;Exposição da realidade nua e crua das comunidades, Política/Burocracia/Corrupção, + Capitão Nascimento;CADA CACHORRO QUE LAMBA SUA CACETA
23/03/2026;ALICE;-18;Feminino;Não;Já me falaram que o filme é uma crítica a violência policial, em específico do BOPE nas comunidades do RJ;Não;;;;;;;;;;;;;;
23/03/2026;LETÍCIA;26-35;Feminino;Sim;;;Sim;8;Sim;7;Pouca;Pouca;Pouca;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Revolta/Indignação;;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Nenhuma das anteriores.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção, + Capitão Nascimento;.
23/03/2026;GABRIEL;18-25;Masculino;Sim;;;Sim;10;Sim;10;Nenhuma;Pouca;Nenhuma;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Tristeza/Reflexão;Problemas estruturais não são resolvidos com violência policial.;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Uma peça fundamental que mantém o sistema violento funcionando.;Política/Burocracia/Corrupção;.
23/03/2026;MARIANA;-18;Feminino;Sim;;;Sim;9;Sim;8;Pouca;Moderada;Moderada;Questões sociais/desigualdade, Cultura local/regionalismos, Corrupção/política;Tristeza/Reflexão;Acho que é uma crítica enorme a corrupção policial e ao nosso sistema de segurança que nem sempre é favorável a população ;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Nenhuma das anteriores.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia;Acho que nada, espero que continuem abordando esses temas nós próximos filmes pra mostrar que os pessoas periféricas não são o lixo da humanidade 
23/03/2026;JHONATHAN;18-25;Masculino;Sim;;;Sim;10;Sim;9;Pouca;Nenhuma;Moderada;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Tristeza/Reflexão;um filme intenso, crítico e extremamente marcante ;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, + Capitão Nascimento;Além do tráfico de drogas, o filme poderia abordar crimes como corrupção política, milícias e estruturas de poder que sustentam a violência nas cidades.
23/03/2026;JOÃO;18-25;Masculino;Não;Que se trata de filme que retrata a realidade do Rio de Janeiro, mostrando o dia a dia da polícia, a violência nas favelas e os conflitos com o tráfico, destacando um cenário duro e cheio de desafios sociais.;Sim;;;;;;;;;;;;;;
23/03/2026;BRIAN;18-25;Masculino;Sim;;;Sim;10;Sim;8;Moderada;Moderada;Moderada;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Revolta/Indignação;;Justificáveis, pois os fins (combater o crime) justificam os meios.;O único herói capaz de enfrentar o sistema de igual para igual.;Política/Burocracia/Corrupção;La continuidad de los personajes 
23/03/2026;ANA;18-25;Feminino;Sim;;;Sim;8;Sim;6;Nenhuma;Nenhuma;Nenhuma;Questões sociais/desigualdade, Corrupção/política, Busca por justiça/redenção;Revolta/Indignação;bem feita e divertida. dificil dizer a veracidade por nao ser minha realidade, mas um pouco triste o fato de filmes brs serem principalmente com uma visao negativa do nosso pais;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Nenhuma das anteriores.;visao contraria, do povo que nao escolheu a situaçao e como eles sao afetados pela violencia;por mais que faça perder um pouco a graça creio que explicitar a critica seja uma boa, ja que muitos entendem o filme como o contrario do que ele representa
23/03/2026;BRUNO;36-45;Masculino;Sim;;;Sim;10;Sim;9;Nenhuma;Pouca;Pouca;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Revolta/Indignação;Um filme que retratada a precariedade do sistema de segurança pública ;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Exposição da realidade nua e crua das comunidades;Nao sei 
23/03/2026;SOFIA;18-25;Feminino;Sim;;;Sim;10;Sim;10;Moderada;Moderada;Muita;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Tristeza/Reflexão;Filme incrível e que realmente reforça a realidade ;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Nenhuma das anteriores.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;Mostrar ainda mais a realidade
23/03/2026;MARIANA;26-35;Feminino;Sim;;;Sim;8;Sim;7;Nenhuma;Nenhuma;Nenhuma;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Tristeza/Reflexão;Filme bom, porém não retrata o cenário real em alguns aspectos, creio que a realidade seja pior que o filme ;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Uma peça fundamental que mantém o sistema violento funcionando.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;Mais ação e menos capitão nascimento 
23/03/2026;WILLIAM;26-35;Masculino;Sim;;;Sim;8;Sim;10;Pouca;Nenhuma;Nenhuma;Violência urbana/criminalidade, Corrupção/política, Busca por justiça/redenção;Revolta/Indignação;Muito bom, porém retrata a triste realidade brasileira ;Justificáveis, pois os fins (combater o crime) justificam os meios.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Ação/Operações das forças da Polícia;Não deveria ter um próximo filme 
23/03/2026;YASMIN;18-25;Feminino;Não;Sistema desigual e corrupto ;Sim;;;;;;;;;;;;;;
23/03/2026;BÁRBARA;50+;Feminino;Sim;;;Sim;10;Sim;10;Nenhuma;Nenhuma;Nenhuma;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Tristeza/Reflexão;"O filme mostrou o nascimento do ""narco estado"" que é o Rio de Janeiro.";Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Política/Burocracia/Corrupção;Mostrarão a corrupção do tráfico na Faria Lima , ALERJ, ALESP e  Brasília como patrocinadores dos grandes cartéis de tráfico no nosso país.
23/03/2026;CLEIDIR;18-25;Feminino;Sim;;;Sim;10;Sim;10;Nenhuma;Nenhuma;Moderada;Questões sociais/desigualdade, Violência urbana/criminalidade, Cultura local/regionalismos, Corrupção/política, Busca por justiça/redenção;Tristeza/Reflexão;É um filme muito interessante, ele monstra uma realidade bem dura sobre o Rio de Janeiro e faz com que podemos refletir sobre todos os temas abordados. ;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;Eu deixaria a história um pouco menos exagerada e trabalharia mais os personagens, pra ficar mais realista e equilibrado.
23/03/2026;CECÍLIA;26-35;Feminino;Sim;;;Sim;9;Sim;9;Moderada;Pouca;Pouca;Questões sociais/desigualdade, Violência urbana/criminalidade, Cultura local/regionalismos, Relações familiares/amizade, Corrupção/política, Busca por justiça/redenção;Revolta/Indignação;Importante e relevante abordagem do cinema brasilero em retratar uma das tristes realidades do Brasil;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;Inserção de depoimentos de pessoas que vivem a realidade dos temas abordados no filme. Moradores da comunidades, policiais, etc ..
23/03/2026;CARLOS;18-25;Masculino;Sim;;;Sim;5;Sim;8;Moderada;Moderada;Moderada;Violência urbana/criminalidade, Cultura local/regionalismos, Corrupção/política;Entretenimento puro;Nao tenho;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Nenhuma das anteriores.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção, ;Nao aplicável 
23/03/2026;GRAZIELLA;18-25;Feminino;Sim;;;Sim;10;Sim;10;Moderada;Nenhuma;Nenhuma;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Tristeza/Reflexão;;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;manteria na mesma pegada
23/03/2026;CAROL;18-25;Feminino;Sim;;;Sim;10;Sim;10;Nenhuma;Nenhuma;Nenhuma;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Revolta/Indignação;Muito bom e cru;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Uma peça fundamental que mantém o sistema violento funcionando.;Exposição da realidade nua e crua das comunidades, Política/Burocracia/Corrupção;"Mostraria como os bandidos são ""formados"""
23/03/2026;ARTUR;18-25;Masculino;Sim;;;Sim;8;Sim;10;Total;Moderada;Nenhuma;Violência urbana/criminalidade, Corrupção/política;Revolta/Indignação;Muito bom;Justificáveis, pois os fins (combater o crime) justificam os meios.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Exposição da realidade nua e crua das comunidades;Roteiro
23/03/2026;RYAN;18-25;Masculino;Sim;;;Sim;10;Sim;9;Moderada;Moderada;Muita;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Tristeza/Reflexão;Retrata questões sociais e políticas que infelizmente ainda não são resolvidas no nosso país;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;O único herói capaz de enfrentar o sistema de igual para igual.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção, + Capitão Nascimento;Acredito que não terá um próximo filme, infelizmente.
23/03/2026;CLAUDIO;50+;Masculino;Sim;;;Sim;10;Sim;8;Pouca;Nenhuma;Nenhuma;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Tristeza/Reflexão;Roteiro adaptado, direção, atuações espetaculares. Mas achonque a mensagem não foi bem entendida. O capitão Nacimento não é um heroi e embora um tanto carismatico, é um anti-herói e suas ações devem ser analisadas com um pensamento critico e não de inteira aceitação.;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Os reais chefes das organizações criminosas na Faria Lima. O trafico de influencia entre as fintechs e a politica. ;O filme foi bom o bastante.
23/03/2026;RUAN;18-25;Masculino;Sim;;;Sim;10;Sim;10;Moderada;Muita;Total;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Revolta/Indignação;;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Exposição da realidade nua e crua das comunidades, Política/Burocracia/Corrupção;A retratação dos personagens, principalmente os traficante é porcamente feita
23/03/2026;DANIELE;46-50;Feminino;Sim;;;Sim;10;Sim;10;Moderada;Total;Total;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política, Busca por justiça/redenção;Reflexão. O Filme 1, me despertou para a questão da cultura da violência e corrupção no sistema de segurança pública, enquanto o 2 demonstrou como o problema é sistêmico e se extende aos poderes executivos e legislativos.;"Necessário. Quanto Padilha abordou as questões descritas nos filmes, tinhasse uma impressão de que eram problemas regionais. Hoje já se discute sobre como a complexidade do sistema de segurança no Brasil, vem de fundamentos históricos e que envolvem o racismo estrutural, hierarquização burocrática que gera brechas para corrupção em vários níveis, e a violência como linguagem em ambientes de disputa (como as periferias). Após eventos reais como o assassinato de Marielle Franco e a chacina da operação do Morro do Alemão e Penha (121 mortes) desvelar a necropolítica como ferramenta eleitoral; assistir Tropa de Elite tem outro significado.";"Narrativa crítica. É preciso compreender que o diretor retrata a construção de uma personalidade formada por técnicas desenvolvidas pelos militares para contraguerrilha (guerra na selva), no contexto da ditadura no Brasil. Foi idealizado pelo Coronel PM Paulo César Amêndola em 1978, utilizando seus conhecimentos dos cursos dados à Marinha.Táticas como violência sistêmica e tortura fazem parte da cultura de formação desses homens. Por isso a personalidade do Capitão Nascimento não é uma reação ao criminoso, é a construção subjetiva de ""Nós contra eles"", onde o inimigo está na periferia do sistema.";Uma peça fundamental que mantém o sistema violento funcionando.;"O filme Tropa de Elite 2: O Inimigo Agora é Outro já aborda a corrupção sistêmica. Essa é uma boa pergunta, eu me atreveria a dizer que o Padilha abordaria a atualização da violência para a escala global. No Tropa de Elite 3 poderia demonstrar como a formação da segurança pública na América Latina é ligada ao imperialismo norte americano, e como essa ""guerra psicológica"", usando o narco tráfico como pano de fundo, toma outras dimensões com o avanço das tecnologias (Inteligência artificial e os drones).";Eu assisti nos lançamentos os dois primeiros e uma frustração para nós foi a amenização na linguagem crítica que se tomou para que o filme fosse absorvido pelo mainstream de Hollywood. O próprio diretor diz em entrevistas dos cortes dos produtores quando ele passa a ser contratado para o Robocop. Eu gostaria de ver a liberdade de crítica que o Padilha teve no filme 1, para essa sequência.
23/03/2026;XAULIN;18-25;Masculino;Sim;;;Sim;8;Sim;8;Pouca;Nenhuma;Moderada;Violência urbana/criminalidade, Corrupção/política, Busca por justiça/redenção;Entretenimento puro;CAVEIRAAAA;Justificáveis, pois os fins (combater o crime) justificam os meios.;O único herói capaz de enfrentar o sistema de igual para igual.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção, + Capitão Nascimento;Mais violência e talvez um choque pra trazer alerta a população que vive retida graças a esses inúmeros crimes 
23/03/2026;LAURITA;50+;Feminino;Sim;;;Sim;9;Sim;9;Pouca;Moderada;Pouca;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Tristeza/Reflexão;O filme me fez pensar em como a colonização destruiu o Brasil e quanto será difícil esse reconstrução ;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Exposição da realidade nua e crua das comunidades;Mostraria o outro lado, pessoas que fazem a diferença, projetos , instituições que buscam a melhoria .O bem precisa aparecer mais
23/03/2026;AARON;-18;Masculino;Sim;;;Sim;7;Sim;8;Pouca;Pouca;Pouca;Questões sociais/desigualdade, Violência urbana/criminalidade, Cultura local/regionalismos, Relações familiares/amizade, Corrupção/política, Busca por justiça/redenção;Tristeza/Reflexão;Em minha opinião, é um bom filme que reflete parte da sociedade brasileira ;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Nenhuma das anteriores.;Exposição da realidade nua e crua das comunidades;Adicionaria mais regiões 
23/03/2026;ANTHONY;26-35;Masculino;Sim;;;Sim;8;Sim;10;Pouca;Pouca;Pouca;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Entretenimento puro;;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Uma peça fundamental que mantém o sistema violento funcionando.;+ Capitão Nascimento;Não sei 
23/03/2026;DAYANE;36-45;Feminino;Sim;;;Sim;10;Sim;8;Nenhuma;Nenhuma;Nenhuma;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Tristeza/Reflexão;;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;Mostrar mais a visão da comunidade
24/03/2026;RICHARD;18-25;Masculino;Sim;;;Sim;10;Sim;10;Nenhuma;Nenhuma;Nenhuma;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Revolta/Indignação;Filme ótimo, com retratação cotidiana surreal de bom;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;Nada 
24/03/2026;ALEX;50+;Masculino;Sim;;;Sim;9;Sim;9;Muita;Muita;Muita;Violência urbana/criminalidade, Corrupção/política, Busca por justiça/redenção;Tristeza em saber que o enredo retrata a visai da cidade nos anos 80 e 90 e hoje estamos bem pior em vez de melhorar! Ou seja sem solução ;Realidade! E que o problema  do pais é o povo. Tao sensacional, e tao focado no seu próprio beneficio! Nao ha coletividade para brigar por melhorar serias e definitivas ;Necessarias diante da falência das instituições, a corrupção  e ausencia da sociedade atuante pata mudar a sua historia.;Nenhuma das anteriores.;Exposição da realidade nua e crua das comunidades, Política/Burocracia/Corrupção, Mostrar o fim das pessoas que tomam decisoes erradas. Jovens que nao passam doa 20 anos mundo crime. Quem sabe assim naobse deixam influenciar ;Mais Consequências das opções, mostrando que a vida nao tem almoco gratis! Aquibse faz aqui se paga!
24/03/2026;WILLIAM;26-35;Masculino;Sim;;;Sim;10;Sim;10;Moderada;Total;Total;Violência urbana/criminalidade, Cultura local/regionalismos, Corrupção/política;Revolta/Indignação;;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Política/Burocracia/Corrupção;Maior exposição do sistema político e desigualdade 
24/03/2026;SILAS;26-35;Masculino;Sim;;;Sim;9;Sim;10;Muita;Moderada;Nenhuma;Violência urbana/criminalidade, Corrupção/política;Revolta/Indignação;;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;O único herói capaz de enfrentar o sistema de igual para igual.;Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;Abordaria assuntos que gerassem mais pressão pra cima dos políticos, assim geraria um clima de revolta na população para ir atrás de punir os polítivos com as próprias mãos, como em alguns países asiáticos.
24/03/2026;GILCIMAR;50+;Masculino;Sim;;;Sim;8;Não;6;Moderada;Muita;Muita;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Revolta/Indignação;Filme bom ;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;Não tem o que melhorar 
24/03/2026;PEDRO;-18;Masculino;Não;que ele é muito bom;Sim;;;;;;;;;;;;;;
24/03/2026;ROBSON;26-35;Masculino;Sim;;;Sim;6;Sim;6;Nenhuma;Moderada;Moderada;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Revolta/Indignação;O filme apresenta a violência urbana, a corrupção policial e o combate ao tráfico de drogas a partir da perspectiva de um militar (Capitão Nascimento), isto é, alguém que foi treinado para eliminar seres humanos que estavam em conflito com a lei brasileira. Porém, Seria interessante se o longa-metragem mostrasse também a conjuntura dos aglomerados do Rio de Janeiro com base na visão de quem mais sofre com essa realidade social, ou seja, a população empobrecida, negra e marginalizada.;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;Dar escuta aos moradores dos aglomerados, pois eles são os verdadeiros heróis que lutam todos os dias para mudar a realidade se suas famílias e muitas vezes não conseguem vencer o dia por causa da violência policial.
24/03/2026;HIGO;18-25;Masculino;Não;Que conta a realidade no rj;Sim;;;;;;;;;;;;;;
24/03/2026;RUAN;26-35;Masculino;Sim;;;Sim;9;Sim;8;Pouca;Moderada;Pouca;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Tristeza/Reflexão;;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Uma peça fundamental que mantém o sistema violento funcionando.;Exposição da realidade nua e crua das comunidades, + Capitão Nascimento;Não sei opinar
24/03/2026;CAROLINA;36-45;Feminino;Sim;;;Sim;10;Sim;10;Nenhuma;Pouca;Moderada;Violência urbana/criminalidade, Cultura local/regionalismos, Corrupção/política, Busca por justiça/redenção;Revolta/Indignação;Atuação  excelente. Filmem retrata bem a realidade carioca. ;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;O único herói capaz de enfrentar o sistema de igual para igual.;Política/Burocracia/Corrupção;Mostraria mais sobre como a política influencia nisso a fim de que a população pense mais antes de votar. 
24/03/2026;DJAIR;26-35;Masculino;Sim;;;Sim;10;Sim;8;Pouca;Pouca;Nenhuma;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Revolta/Indignação;É um filme que retrata bem a realidade da policia no Brasil, onde a violência fica escancara aos mais vulneráveis enquanto a elite politica e economica se aproveita dos atos barbaros dos militares;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Uma peça fundamental que mantém o sistema violento funcionando.;Exposição da realidade nua e crua das comunidades;"a ideia de que os filmes são críticas e não senso de justiça a qual lhe foi dada pelos ditos ""cidadãos de bem""."
24/03/2026;GABRIEL;18-25;Masculino;Sim;;;Sim;8;Sim;8;Pouca;Moderada;Muita;Violência urbana/criminalidade, Corrupção/política;Revolta/Indignação;Filme retrata a realidade carioca no contexto da insegurança e corrupção na politica e nas instituições públicas.;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Nenhuma das anteriores.;Exposição da realidade nua e crua das comunidades;Mostrar a expansão do crime na cidade.
